location_name,Location_Category_Description,LATITUDE,LONGITUDE
P.S. /I.S. 384 Frances E. Carter,K-8,40.689883,-73.904695
"School of Business, Finance and Entrepreneurship",Junior High-Intermediate-Middle,40.691467,-73.932254
Invictus Preparatory Charter School,Junior High-Intermediate-Middle,40.67002,-73.874537
M S 390 Maggie L. Walker,Junior High-Intermediate-Middle,40.6727,-73.9372
I S 391 Mahalia Jackson,Junior High-Intermediate-Middle,40.6624,-73.9364
I.S. 392,Junior High-Intermediate-Middle,40.665553,-73.91788
Frederick Douglass Academy IV Secondary School,High school,40.691467,-73.932254
M.S. K394,K-8,40.67271,-73.928917
New Visions A.I.M. Charter High School I,High school,40.666251,-73.923881
P.S. K396,K-8,40.668232,-73.911788
P.S. 397 Foster-Laurie,Elementary,40.658663,-73.946358
P.S. 398 Walter Weaver,Elementary,40.663388,-73.927979
P.S. 399 Stanley Eugene Clark,Elementary,40.648277,-73.951664
Christopher Avenue Community School,Elementary,40.672216,-73.906018
Academy for Excellence in Leadership,High school,40.696457,-73.911751
Academy for Young Writers,Secondary School,40.657266,-73.874064
Midwood High School,High school,40.632829,-73.952356
"EMBER Charter School for Mindful Education, Innova",K-8,40.688323,-73.935509
Academy of Hospitality and Tourism,High school,40.649602,-73.957173
East New York Family Academy,Secondary School,40.673766,-73.895976
Abraham Lincoln High School,High school,40.582627,-73.968733
Brooklyn Community Arts & Media High School (BCAM),High school,40.692015,-73.95818
Brooklyn Arbor Elementary School,Elementary,40.710107,-73.954678
Samuel J. Tilden High School,High school,40.647728,-73.922212
Urban Dove Charter School,High school,40.689574,-73.950714
"Science Skills Center High School for Science, Tec",High school,40.69733,-73.984528
Franklin K. Lane High School,High school,40.693002,-73.869305
Spring Creek Community School,Secondary School,40.657266,-73.874064
Brooklyn Frontiers High School,High school,40.690007,-73.989369
James Madison High School,High school,40.610499,-73.947661
Digital Arts and Cinema Technology High School,Secondary School,40.685006,-73.993293
Brooklyn Technical High School,High school,40.688896,-73.976435
Greenpoint High School For Engineering And Automot,High school,40.721448,-73.953328
Thomas Jefferson High School,High school,40.6675,-73.8947
Brooklyn International High School,High school,40.69733,-73.984528
Prospect Heights Hs,High school,40.6703,-73.9617
M.S. 442 Carroll Gardens School for Innovation,Junior High-Intermediate-Middle,40.656952,-73.983116
New Voices School of Academic & Creative Arts,Junior High-Intermediate-Middle,40.660805,-73.988743
New Utrecht High School,High school,40.613041,-74.002308
Riverdale Avenue Community School,Elementary,40.659618,-73.913508
The Math & Science Exploratory School,Junior High-Intermediate-Middle,40.683951,-73.980266
Brooklyn Collaborative Studies,Secondary School,40.679462,-74.002022
"Brooklyn Latin School, The",High school,40.709765,-73.944463
Shorefront High School Of Arts And Sciences At Joh,High school,40.58807,-73.981925
